Spud Date,Frac Date,Rig Number,Project Unit,Well Name,Bench
10/25/2019,5/2/2020,Big E 4,WR Bigtooth Maple 1,Bigtooth Maple H #13HB,B
11/11/2019,5/15/2020,Big E 4,WR Bigtooth Maple 1,Bigtooth Maple E #9HB,B
11/28/2019,5/15/2020,Big E 4,WR Bigtooth Maple 1,Bigtooth Maple E #10HA,A
12/15/2019,5/15/2020,Big E 4,WR Bigtooth Maple 1,Bigtooth Maple E #11LS,LSL
1/1/2020,5/15/2020,Big E 4,WR Bigtooth Maple 1,Bigtooth Maple G #12AA,AA
1/24/2020,9/6/2020,Big E 4,Avogadro 1,Avogadro #1HA,A
2/16/2020,9/6/2020,Big E 4,Avogadro 1,Avogadro #2BB,BB
3/10/2020,9/6/2020,Big E 4,Avogadro 1,Avogadro #101HD,D
4/2/2020,10/30/2020,Big E 4,FR Catalyst 2,Actinide E #5BB,BB
4/25/2020,10/30/2020,Big E 4,FR Catalyst 2,Actinide E #6HA,A
5/18/2020,10/30/2020,Big E 4,FR Catalyst 2,Valence #7HB,B
6/10/2020,10/30/2020,Big E 4,FR Catalyst 2,Actinide #1BB,BB
7/3/2020,10/30/2020,Big E 4,FR Catalyst 2,Actinide #3HB,B
7/26/2020,10/30/2020,Big E 4,FR Catalyst 2,Actinide #2HA,A
8/18/2020,1/16/2021,Big E 4,FR Halogen 1,Halogen #1BB,BB
9/10/2020,1/16/2021,Big E 4,FR Halogen 1,Halogen #2HA,A
10/3/2020,1/16/2021,Big E 4,FR Halogen 1,Halogen #3HB,B
10/26/2020,1/16/2021,Big E 4,FR Halogen 1,Halogen #4HA,A
11/18/2020,#N/A,Big E 4,Alkaline Earth 1,Alkaline Earth #2BB,BB
12/11/2020,#N/A,Big E 4,Alkaline Earth 1,Alkaline Earth #1HA,A
1/3/2021,#N/A,Big E 4,Alkaline Earth 1,Alkaline Earth #3HB,B
1/26/2021,#N/A,Big E 4,Alkaline Earth 1,Alkaline Earth C #4HA,A
2/18/2021,#N/A,Big E 4,Princeton 1,Princeton #1BB,BB
3/13/2021,#N/A,Big E 4,Princeton 1,Princeton #2HA,A
4/5/2021,#N/A,Big E 4,Princeton 1,Princeton #3LL,LL
4/28/2021,#N/A,Big E 4,Princeton 1,Princeton #4HB,B
5/21/2021,#N/A,Big E 4,Princeton 1,Princeton #5LM,LM
6/13/2021,#N/A,Big E 4,Princeton 1,Princeton F #6BB,BB
7/6/2021,#N/A,Big E 4,Mendeleev 1,Mendeleev G #8HA,A
7/29/2021,#N/A,Big E 4,Mendeleev 1,Mendeleev F #7BB,BB
8/21/2021,#N/A,Big E 4,Mendeleev 1,Mendeleev E #6HB,B
9/13/2021,#N/A,Big E 4,Mendeleev 1,Mendeleev H #9HB,B
10/6/2021,#N/A,Big E 4,Remington 1,Remington #1,BB
10/29/2021,#N/A,Big E 4,Remington 1,Remington #2,BB
11/21/2021,#N/A,Big E 4,Remington 1,Remington #3,BB
12/14/2021,#N/A,Big E 4,Remington 1,Remington #4,B
1/6/2022,#N/A,Big E 4,Remington 1,Remington #5,B
1/29/2022,#N/A,Big E 4,Remington 1,Remington #6,B
10/13/2019,12/7/2019,Cit 5,Foster 6,Foster E #6HD,D
